iter	Passed	Remaining
414	3419	4820
415	3427	4811
416	3436	4803
417	3445	4796
418	3452	4787
419	3460	4778
420	3468	4769
421	3475	4760
422	3483	4751
423	3491	4743
424	3499	4734
425	3507	4726
426	3515	4718
427	3524	4710
428	3532	4701
429	3540	4692
430	3548	4684
431	3556	4675
432	3563	4666
433	3571	4657
434	3579	4649
435	3587	4641
436	3596	4632
437	3603	4623
438	3611	4615
439	3619	4606
440	3627	4598
441	3635	4589
442	3643	4581
443	3651	4572
444	3658	4563
445	3666	4554
446	3674	4545
447	3682	4536
448	3689	4528
449	3697	4519
450	3705	4510
451	3713	4502
452	3721	4493
453	3728	4484
454	3736	4475
455	3744	4467
456	3752	4458
457	3759	4449
458	3767	4440
459	3775	4432
460	3783	4423
461	3791	4414
462	3798	4406
463	3806	4397
464	3814	4388
465	3822	4379
466	3829	4370
467	3837	4362
468	3844	4353
469	3852	4344
470	3860	4335
471	3867	4326
472	3876	4318
473	3883	4310
474	3891	4301
475	3899	4292
476	3907	4284
477	3915	4275
478	3943	4289
479	3955	4285
480	3965	4279
481	3973	4270
482	3981	4261
483	3989	4253
484	3998	4245
485	4006	4236
486	4013	4228
487	4021	4219
488	4029	4211
489	4037	4202
490	4045	4193
491	4053	4185
492	4061	4176
493	4069	4168
494	4076	4159
495	4084	4150
496	4092	4141
497	4099	4132
498	4107	4124
499	4115	4115
500	4123	4106
501	4130	4098
502	4138	4089
503	4146	4080
504	4153	4071
505	4161	4063
506	4169	4054
507	4177	4045
508	4184	4036
509	4192	4027
510	4199	4019
511	4208	4011
512	4216	4003
513	4225	3995
514	4233	3986
515	4241	3978
516	4250	3970
517	4258	3962
518	4266	3954
519	4275	3946
520	4283	3937
521	4291	3929
522	4299	3921
523	4307	3912
524	4315	3904
525	4323	3896
526	4331	3887
527	4339	3878
528	4346	3870
529	4355	3862
530	4363	3853
531	4371	3845
532	4379	3837
533	4387	3828
534	4395	3820
535	4403	3812
536	4411	3803
537	4419	3795
538	4427	3787
539	4436	3778
540	4444	3770
541	4452	3762
542	4461	3754
543	4469	3746
544	4477	3738
545	4485	3729
546	4494	3721
547	4502	3713
548	4510	3705
549	4519	3697
550	4527	3689
551	4534	3680
552	4542	3672
553	4551	3664
554	4559	3656
555	4569	3648
556	4577	3640
557	4588	3634
558	4600	3629
559	4608	3621
560	4617	3613
561	4626	3605
562	4634	3597
563	4643	3589
564	4651	3581
565	4659	3573
566	4668	3565
567	4677	3557
568	4685	3548
569	4693	3540
570	4701	3532
571	4709	3523
572	4717	3515
573	4725	3507
574	4734	3499
575	4742	3491
576	4751	3483
577	4759	3474
578	4767	3466
579	4777	3459
580	4787	3452
581	4795	3444
582	4804	3436
583	4812	3428
584	4821	3420
585	4830	3412
586	4839	3404
587	4848	3397
588	4856	3389
589	4865	3380
590	4873	3373
591	4883	3365
592	4892	3357
593	4900	3349
594	4908	3341
595	4917	3333
596	4926	3325
597	4935	3317
598	4944	3310
599	4952	3301
600	4960	3293
601	4969	3285
602	4978	3277
603	4987	3270
604	4996	3262
605	5004	3253
606	5013	3245
607	5021	3237
608	5030	3229
