iter	MultiClass
285	0.0317515461
286	0.03163773465
287	0.03154383855
288	0.03149314169
289	0.03135451255
290	0.03125689447
291	0.03113987324
292	0.03105215325
293	0.03095478438
294	0.03083568463
295	0.03077155996
296	0.03068812711
297	0.03060918462
298	0.03048957041
299	0.03040172051
300	0.0302529692
301	0.0301121318
302	0.03003014711
303	0.02990308049
304	0.02983652361
305	0.02971717232
306	0.02966391777
307	0.02952723007
308	0.02945448673
309	0.02937338238
310	0.02928972375
311	0.02922255066
312	0.02914822091
313	0.02905473139
314	0.02896658175
315	0.0288777299
316	0.02876953501
317	0.02866317006
318	0.02859514268
319	0.02852452012
320	0.02844860803
321	0.02835234616
322	0.02826770247
323	0.02819461121
324	0.02807483125
325	0.02800190138
326	0.02793281061
327	0.02783447596
328	0.02776517331
329	0.02765590755
330	0.02760792466
331	0.0275226869
332	0.02742193622
333	0.02733644868
334	0.02727408688
335	0.02716524251
336	0.0270820679
337	0.02702352509
338	0.02696539704
339	0.02689513038
340	0.02682325135
341	0.02675902105
342	0.02666463396
343	0.02659631746
344	0.02653427666
345	0.02646993726
346	0.02641315682
347	0.02634532519
348	0.0262991333
349	0.0262367171
350	0.02615744901
351	0.02609665173
352	0.02599266776
353	0.02592650083
354	0.02585997782
355	0.02580483426
356	0.02573362856
357	0.02566159175
358	0.02559640353
359	0.02551892869
360	0.02548073158
361	0.02540587771
362	0.02534622843
363	0.02525695459
364	0.02519722696
365	0.02514376729
366	0.02506836152
367	0.02497018121
368	0.02488524049
369	0.02483045704
370	0.02475802051
371	0.02465903074
372	0.02459769344
373	0.02451264845
374	0.02445319382
375	0.02438836256
376	0.0243118735
377	0.02424877263
378	0.02417742629
379	0.02411127749
380	0.02405562937
381	0.02400196646
382	0.02394088336
383	0.02387439737
384	0.023794214
385	0.0237364224
386	0.02365094541
387	0.02360706577
388	0.02355190506
389	0.02348921427
390	0.02339454114
391	0.02333494473
392	0.02325246146
393	0.0231929782
394	0.02310841096
395	0.02304807789
396	0.02298540661
397	0.02293613217
398	0.02287849085
399	0.02281508104
400	0.02274882945
401	0.02270377094
402	0.02262439909
403	0.02251672707
404	0.02244028203
405	0.02239986454
406	0.02231120185
407	0.02225207985
408	0.02219981729
409	0.02213237528
410	0.02204616794
411	0.02199154861
412	0.02194397299
413	0.02188026688
414	0.02181923747
415	0.02177024311
416	0.02170233837
417	0.02164503094
418	0.02157522797
419	0.02151316425
420	0.02147650545
421	0.02143701967
422	0.02139025825
423	0.02133798262
424	0.02127200821
425	0.02122540785
426	0.02114934828
427	0.02109884588
428	0.02100657716
429	0.02096198496
430	0.02089377839
431	0.02079891316
432	0.02074474028
433	0.02067925514
434	0.02063537506
435	0.02055400596
436	0.02051645505
437	0.0204715544
438	0.02040369764
439	0.02034116129
440	0.02026223419
